source,target,weight
T02,E12,0.5312786652887105
T03,E11,0.43524043109360877
T03,V07,0.36536805320782395
T03,V09,0.36761608521574757
T04,E10,0.40204466122910254
T04,E14,0.36278777511582305
T06,E10,0.4402113585706435
T06,E12,0.4583065726198032
T06,E14,0.4964498140708579
T06,S04,0.3583747095324005
T06,S07,0.37860587302509
T06,V09,0.3991161831972665
T07,V01,0.4518972860228749
T10,T12,0.44691359165224753
T10,S05,0.4638673879654644
T11,S10,0.3674370583517982
T11,S14,0.43595301678913595
T11,V10,0.36886555780538505
T12,T13,0.4676150508242046
T12,T14,0.3827003387580608
T12,S05,0.38939367391054047
T12,S13,0.4146664207434321
T14,E10,0.36818791830737807
T14,V02,0.4495008816269217
T14,V13,0.3597321160801462
E01,E05,0.39320801937713773
E01,E09,0.42964474937113645
E05,V07,0.369758486233182
E07,E10,0.5186378916640436
E07,E12,0.3880882108108541
E07,E14,0.4294208939877769
E07,S06,0.4175767295816575
E07,S09,0.36122189164987245
E07,S11,0.42718591067976963
E07,V07,0.4640892142916737
E07,V08,0.41324458626604293
E07,V09,0.3633519672670928
E07,V14,0.38092435853972584
E10,E12,0.4398037313220629
E10,E14,0.47214561500275787
E10,E15,0.4715282267485892
E10,S06,0.5146890829972741
E10,S07,0.38846005542987655
E10,S14,0.4246261125169582
E10,S15,0.40387935689758686
E10,V02,0.41846363273666337
E10,V09,0.4646937315830113
E10,V13,0.4265972467109221
E10,V14,0.4102814960208012
E11,E15,0.4199126809727567
E11,S11,0.37027992249994407
E11,V07,0.5312190306088781
E11,V08,0.41097764342428
E11,V09,0.4127286587034987
E12,E14,0.4398037313220628
E12,V14,0.3645195963520381
E14,E15,0.6041812767958883
E14,V02,0.41721957296554657
E14,V09,0.4547221538442628
E15,S07,0.43444677776971896
E15,V02,0.40323963975331445
E15,V14,0.4134574092958926
E15,V15,0.3817709867538329
S01,S03,0.545676519134437
S01,S14,0.4488344070705551
S01,S15,0.39225960222705286
S02,S04,0.38885567701793117
S02,S06,0.386370476307073
S02,S09,0.3793661540298325
S02,S15,0.4001301390379165
S02,V10,0.4188486432501
S03,S13,0.3688705142368026
S03,V03,0.3607375889588605
S04,S09,0.394882404423493
S04,S14,0.43883514125678824
S04,V05,0.37807989618541354
S04,V09,0.42476408546614053
S06,S09,0.49303081736134274
S06,V02,0.4014367216456966
S06,V05,0.44021013910161105
S06,V07,0.36558244813913143
S06,V08,0.394170432364829
S06,V09,0.4008054248955711
S06,V10,0.5003474580286925
S06,V11,0.47360587443450075
S06,V13,0.4168682283044121
S07,S09,0.4961555505976747
S07,S14,0.3836445644919242
S07,S15,0.3934592944932425
S07,V01,0.4031283450864792
S07,V02,0.4773074850624721
S07,V04,0.39479880246501164
S07,V09,0.44041006847504477
S07,V12,0.4119648765436751
S07,V13,0.3737777035015489
S07,V14,0.44609406270773383
S09,S11,0.44671614626407025
S09,S12,0.3631045997207995
S09,S13,0.4198841470336125
S09,S14,0.5244144490415517
S09,S15,0.3616866955994107
S09,V03,0.4296047844155081
S09,V04,0.3864133653247542
S09,V09,0.48741155430850835
S09,V10,0.4130200878525576
S09,V11,0.36970594585276656
S09,V12,0.3664304878356129
S09,V13,0.4161879042558337
S09,V14,0.4713928304127725
S10,S12,0.42802388032549005
S10,S13,0.368278616094999
S10,V08,0.4447598492631407
S10,V11,0.4023331070709097
S10,V15,0.44140789727462393
S11,V06,0.4337648840150036
S12,V07,0.43920217142085394
S13,S14,0.42533571513248913
S13,S15,0.40196130101358246
S13,V03,0.45987529934253524
S13,V08,0.35886751480116985
S13,V10,0.529852297105383
S14,S15,0.41000820193196447
S14,V08,0.382943143812709
S14,V09,0.5301361653232589
S14,V10,0.39866159600739604
S14,V12,0.40053975984568985
S14,V13,0.5550282649362374
S14,V14,0.45162715729854436
S14,V15,0.3629104964631898
S15,V02,0.4361691537856248
S15,V10,0.46679741164401634
S15,V12,0.44594426041666957
V01,V02,0.47084318153510085
V01,V11,0.38015642870311556
V01,V13,0.43703285541276327
V01,V14,0.3619247216025571
V02,V04,0.4068024865957444
V02,V08,0.3764348050345082
V02,V09,0.3675661174720817
V02,V10,0.38999096201785316
V02,V12,0.3834419599494642
V02,V13,0.4151427970518995
V03,V04,0.4248190260986087
V03,V10,0.49160085554347244
V03,V12,0.4284634866763383
V04,V06,0.4041289930912515
V04,V10,0.3834221936929997
V04,V13,0.39175480948215025
V05,V06,0.37804813335881043
V05,V07,0.6011392046288908
V05,V14,0.3692443907031767
V06,V12,0.41112810665995003
V06,V15,0.42000746067240613
V07,V08,0.6295631831691061
V07,V09,0.4853764532235062
V07,V10,0.39284288141114315
V07,V12,0.45903765143480973
V07,V14,0.47955119761293213
V07,V15,0.38072852071547136
V08,V09,0.3636894092271206
V08,V10,0.5994214874488553
V08,V12,0.4405731240205439
V08,V13,0.4357804838633071
V08,V14,0.4046414534193161
V08,V15,0.39410193763961243
V09,V10,0.3911680965958885
V09,V12,0.4397178379732951
V09,V13,0.5282754249077481
V09,V14,0.5398503733852064
V09,V15,0.40484058500136116
V10,V12,0.5790588856217551
V10,V13,0.46270364883259474
V12,V13,0.42190165766732224
V12,V14,0.43353509735910983
V13,V14,0.5056538252160737
V13,V15,0.44122273150489116
