source,target,weight
11,101,0.33356585433738817
11,113,0.34484173380272437
12,65,0.3114846219048938
12,72,0.3016085875570449
12,123,0.41447329006366823
13,38,0.39225436014315884
13,110,0.33579832048997826
14,99,0.4769596346406889
16,95,0.3395755737370363
17,58,0.30287771858595924
17,79,0.32610930332646393
17,82,0.3026999727712926
18,21,0.31762330187311216
19,121,0.3990125432045936
21,46,0.30013128806502193
21,57,0.4149364371268915
21,81,0.34380216792988577
21,110,0.3927376468331033
22,90,0.34688400941551467
24,121,0.43539658135386233
26,116,0.37096992539608026
31,90,0.34366274691346327
32,90,0.32334017194342607
35,48,0.3320170964370112
35,83,0.3384208754592129
35,114,0.40768529472922904
40,108,0.38272237256214403
41,50,0.34601818358668346
41,52,0.4319773909939358
41,62,0.34371467939292044
42,91,0.4151882555348364
45,63,0.3473140750109404
46,123,0.31137030056161696
48,117,0.4298182703900994
49,57,0.39865096017917256
49,61,0.3877110511249819
49,62,0.30795500955935684
49,66,0.36469776451930447
49,86,0.4084135263968495
49,104,0.4017692930101325
50,83,0.32230452096856027
50,90,0.3777080539085055
50,95,0.4958344915519522
53,57,0.43213096670655743
54,114,0.35449306875541425
55,61,0.396026919236152
55,85,0.4432672967597214
55,92,0.31033927449950927
55,95,0.3135958550808356
56,79,0.3531336268936966
57,74,0.4049022713386965
57,110,0.3619635188742534
61,104,0.4118101826560364
61,110,0.449190502233329
63,120,0.301367161943449
65,123,0.35724553003857845
66,103,0.3620491864507313
70,106,0.3697188785963486
72,94,0.4326418336988677
72,105,0.30461374660615054
79,102,0.7368910854370794
80,81,0.30130796560311945
80,102,0.3031658169747645
81,110,0.43820946116444154
83,114,0.32702928462681746
86,95,0.41848963985832743
86,104,0.45524287580446654
90,95,0.31840332326081683
91,111,0.3746749599287912
91,119,0.48009299662680005
91,126,0.3062109724336408
92,108,0.3876727051513338
93,111,0.30858474399650226
94,104,0.2997838164434074
94,105,0.3211093638247492
94,110,0.40463145005980433
95,114,0.3663261193878186
97,104,0.3586806576607873
101,119,0.38523249091158634
101,123,0.39196827701942216
104,114,0.33864116933838867
105,110,0.31242398587823883
111,119,0.33876511177817015
111,125,0.34571318153613145
118,120,0.31604198417172935
119,123,0.4368967370230418
119,125,0.3939720412739924
119,126,0.35714582228747604
