source,target,weight
11,101,0.33356585433738817
11,24,0.27997967876543395
11,113,0.34484173380272437
11,121,0.2742140484120102
12,65,0.3114846219048938
12,72,0.3016085875570449
12,123,0.41447329006366823
12,42,0.28352193881345295
13,19,0.2631992692350531
13,29,0.27895053430682437
13,38,0.39225436014315884
13,94,0.29862303915319616
14,99,0.4769596346406889
14,103,0.2433037553395353
14,17,0.2625703943808723
16,93,0.2917085753464071
16,50,0.29336289269106924
16,95,0.3395755737370363
17,103,0.2871844678060609
17,58,0.30287771858595924
17,79,0.32610930332646393
17,82,0.3026999727712926
18,21,0.31762330187311216
18,66,0.25549303502240606
18,79,0.2946851583995701
18,40,0.2521364224005875
19,121,0.3990125432045936
19,84,0.26850591993383877
19,85,0.2832418988006488
19,92,0.27864186558182963
20,67,0.2559577420876375
20,82,0.24958043129687438
21,57,0.4149364371268915
21,110,0.3927376468331033
21,81,0.34380216792988577
21,46,0.30013128806502193
22,32,0.21386100317708895
22,90,0.34688400941551467
24,121,0.43539658135386233
26,66,0.25434099008663114
26,116,0.37096992539608026
29,55,0.2603730367769404
29,62,0.2816287439731205
29,43,0.26261705019939935
31,120,0.23397693353571988
31,90,0.34366274691346327
32,70,0.21826081024035685
32,90,0.32334017194342607
35,64,0.26133367139212543
35,114,0.40768529472922904
35,83,0.3384208754592129
35,48,0.3320170964370112
35,54,0.29413378442699756
36,82,0.2654848882941586
37,58,0.2460900874664686
38,64,0.22184578349000003
38,67,0.29047060716650297
40,108,0.38272237256214403
40,82,0.27694663986336393
40,42,0.2861776604458775
41,62,0.34371467939292044
41,50,0.34601818358668346
41,52,0.4319773909939358
42,105,0.27641814642328616
42,91,0.4151882555348364
43,89,0.24548880951350785
45,63,0.3473140750109404
45,65,0.23661345503704911
45,46,0.2435668914555549
46,123,0.31137030056161696
46,52,0.258807775317326
48,115,0.2341956611427121
48,117,0.4298182703900994
48,89,0.2033015826990625
49,57,0.39865096017917256
49,104,0.4017692930101325
49,61,0.3877110511249819
49,66,0.36469776451930447
49,86,0.4084135263968495
50,83,0.32230452096856027
50,90,0.3777080539085055
50,95,0.4958344915519522
52,56,0.25207720000219774
52,63,0.25850687836735714
53,57,0.43213096670655743
53,84,0.2804839783573956
54,114,0.35449306875541425
54,83,0.2744112278560514
55,61,0.396026919236152
55,85,0.4432672967597214
55,92,0.31033927449950927
56,113,0.2851531716351455
56,116,0.2637664355522792
56,79,0.3531336268936966
56,80,0.26560723066620695
57,110,0.3619635188742534
57,74,0.4049022713386965
58,69,0.23419155197553274
58,118,0.23126684812299472
59,113,0.25949489602224957
61,104,0.4118101826560364
61,110,0.449190502233329
61,86,0.28807153332504265
62,79,0.2803616561399033
62,80,0.29740356847382743
63,118,0.28168712923707273
63,120,0.301367161943449
64,109,0.2119823944963207
64,118,0.2647414854448086
65,123,0.35724553003857845
66,103,0.3620491864507313
69,106,0.20927194261440957
70,106,0.3697188785963486
70,109,0.2857639772436898
72,105,0.30461374660615054
72,106,0.2905720722859134
72,108,0.2879788483313224
72,94,0.4326418336988677
74,97,0.2889128160645628
79,102,0.7368910854370794
80,102,0.3031658169747645
80,81,0.30130796560311945
81,110,0.43820946116444154
83,114,0.32702928462681746
83,117,0.27028873241051277
85,117,0.2303085060173032
85,92,0.26828669635213387
86,104,0.45524287580446654
86,95,0.41848963985832743
90,95,0.31840332326081683
91,101,0.2973754500368674
91,111,0.3746749599287912
91,119,0.48009299662680005
91,126,0.3062109724336408
92,108,0.3876727051513338
93,102,0.29594533494969005
93,111,0.30858474399650226
93,97,0.2768575808010761
94,105,0.3211093638247492
94,110,0.40463145005980433
95,114,0.3663261193878186
97,104,0.3586806576607873
101,119,0.38523249091158634
101,123,0.39196827701942216
103,115,0.21389869019813082
104,114,0.33864116933838867
108,126,0.2651648158523493
111,125,0.34571318153613145
111,126,0.26561594144982026
113,115,0.23617357809167447
113,116,0.2227784170881374
118,120,0.31604198417172935
119,123,0.4368967370230418
119,125,0.3939720412739924
119,126,0.35714582228747604
121,126,0.27231427320853974
